"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_stillsick_past_smooth"
"2020-09-09","ES","ESNC",654214,0.025,0,0,0,0.0364768320573103,2.22044604925031e-16
"2020-09-10","ES","ESNC",654214,0.025,0,0,0,0.036410491482465,2.22044604925031e-16
"2020-09-11","ES","ESNC",654214,0.025,0,0,0,0.0363449135440781,2.22044604925031e-16
"2020-09-12","ES","ESNC",654214,0.025,0,0,0,0.0362800851459231,2.22044604925031e-16
"2020-09-13","ES","ESNC",654214,0.025,0,0,0,0.0362159934957869,2.22044604925031e-16
"2020-09-14","ES","ESNC",654214,0.025,0,0,0,0.0361526260949342,2.22044604925031e-16
"2020-09-15","ES","ESNC",654214,0.025,0,0,0,0.0360899707286187,2.22044604925031e-16
"2020-09-16","ES","ESNC",654214,0.025,0,0,0,0.0360280154573512,2.22044604925031e-16
"2020-09-17","ES","ESNC",654214,0.025,0,0,0,0.0359667486087463,2.22044604925031e-16
"2020-09-18","ES","ESNC",654214,0.025,0,0,0,0.0359061587698332,2.22044604925031e-16
"2020-09-19","ES","ESNC",654214,0.025,0,0,0,0.0358462347797813,2.22044604925031e-16
"2020-09-20","ES","ESNC",654214,0.025,0,0,0,0.0357869657230013,2.22044604925031e-16
"2020-09-21","ES","ESNC",654214,0.025,0,0,0,0.035728340922617,2.22044604925031e-16
"2020-09-22","ES","ESNC",654214,0.025,0,0,0,0.0356703499343567,2.22044604925031e-16
"2020-09-23","ES","ESNC",654214,0.025,0,0,0,0.0356129825409817,2.22044604925031e-16
"2020-09-24","ES","ESNC",654214,0.025,0,0,0,0.0355562287474603,2.22044604925031e-16
"2020-09-25","ES","ESNC",654214,0.025,0,0,0,0.0355000787774013,2.22044604925031e-16
"2020-09-26","ES","ESNC",654214,0.025,0,0,0,0.0354445230719515,2.22044604925031e-16
"2020-09-27","ES","ESNC",654214,0.025,0,0,0,0.0353895503283782,2.22044604925031e-16
"2020-09-28","ES","ESNC",654214,0.025,0,0,0,0.0353351550061008,2.22044604925031e-16
"2020-09-29","ES","ESNC",654214,0.0153846153846154,0,0,0,0.0352312464382525,2.22044604925031e-16
"2020-09-30","ES","ESNC",654214,0.0153846153846154,0,0,0,0.0351284138953437,2.22044604925031e-16
"2020-10-01","ES","ESNC",654214,0.0153846153846154,0,0,0,0.0350266415282249,2.22044604925031e-16
"2020-10-02","ES","ESNC",654214,0.0153846153846154,0,0,0,0.0349259130172025,2.22044604925031e-16
"2020-10-03","ES","ESNC",654214,0.0153846153846154,0,0,0,0.0348262123778461,2.22044604925031e-16
"2020-10-04","ES","ESNC",654214,0.0153846153846154,0,0,0,0.0347275239518905,2.22044604925031e-16
"2020-10-05","ES","ESNC",654214,0.0153846153846154,0,0,0,0.0346298323985944,2.22044604925031e-16
"2020-10-06","ES","ESNC",654214,0.0153846153846154,0,0,0,0.0345331226864796,2.22044604925031e-16
"2020-10-07","ES","ESNC",654214,0.0153846153846154,0,0,0,0.0344373812336539,2.22044604925031e-16
"2020-10-08","ES","ESNC",654214,0.0153846153846154,0,0,0,0.0343425912115923,2.22044604925031e-16
"2020-10-09","ES","ESNC",654214,0.0153846153846154,0,0,0,0.0342487397329307,2.22044604925031e-16
"2020-10-10","ES","ESNC",654214,0.0153846153846154,0,0,0,0.0341558129248407,2.22044604925031e-16
"2020-10-11","ES","ESNC",654214,0.0153846153846154,0,0,0,0.0340637971876249,2.22044604925031e-16
"2020-10-12","ES","ESNC",654214,0.0153846153846154,0,0,0,0.0339726791881116,2.22044604925031e-16
"2020-10-13","ES","ESNC",654214,0.0153846153846154,0,0,0,0.0338824458533929,2.22044604925031e-16
"2020-10-14","ES","ESNC",654214,0.01,0,0,0,0.0337670717920227,2.22044604925031e-16
"2020-10-15","ES","ESNC",654214,0.01,0,0,0,0.0336528071833832,2.22044604925031e-16
"2020-10-16","ES","ESNC",654214,0.01,0,0,0,0.0335396350054322,2.22044604925031e-16
"2020-10-17","ES","ESNC",654214,0.01,0,0,0,0.0334275417186744,2.22044604925031e-16
"2020-10-18","ES","ESNC",654214,0.01,0,0,0,0.0333165111893129,2.22044604925031e-16
"2020-10-19","ES","ESNC",654214,0.01,0,0,0,0.0332065272828341,2.22044604925031e-16
"2020-10-20","ES","ESNC",654214,0.01,0,0,0,0.0330975766558219,2.22044604925031e-16
"2020-10-21","ES","ESNC",654214,0.01,0,0,0,0.03298964352693,2.22044604925031e-16
"2020-10-22","ES","ESNC",654214,0.01,0,0,0,0.0328827149642235,2.22044604925031e-16
"2020-10-23","ES","ESNC",654214,0.01,0,0,0,0.0327767765034402,2.22044604925031e-16
"2020-10-24","ES","ESNC",654214,0.01,0,0,0,0.0326718144744619,2.22044604925031e-16
"2020-10-25","ES","ESNC",654214,0.01,0,0,0,0.0325678155053849,2.22044604925031e-16
"2020-10-26","ES","ESNC",654214,0.01,0,0,0,0.0324647656800726,2.22044604925031e-16
"2020-10-27","ES","ESNC",654214,0.01,0,0,0,0.0323626533260859,2.22044604925031e-16
"2020-10-28","ES","ESNC",654214,0.01,0,0,0,0.0322614651791394,2.22044604925031e-16
"2020-10-29","ES","ESNC",654214,0.01,0,0,0,0.0321611883295512,2.22044604925031e-16
"2020-10-30","ES","ESNC",654214,0.01,0,0,0,0.032061810747,2.22044604925031e-16
"2020-10-31","ES","ESNC",654214,0.01,0,0,0,0.0319633201003504,2.22044604925031e-16
"2020-11-01","ES","ESNC",654214,0.01,0,0,0,0.0318657054293663,2.22044604925031e-16
"2020-11-02","ES","ESNC",654214,0.01,0,0,0,0.0317689543559121,2.22044604925031e-16
"2020-11-03","ES","ESNC",654214,0.01,0,0,0,0.0316730563280919,2.22044604925031e-16
"2020-11-04","ES","ESNC",654214,0.01,0,0,0,0.0315779985589157,2.22044604925031e-16
"2020-11-05","ES","ESNC",654214,0.01,0,0,0,0.0314837716636324,2.22044604925031e-16
"2020-11-06","ES","ESNC",654214,0.01,0,0,0,0.0313903637620665,2.22044604925031e-16
"2020-11-07","ES","ESNC",654214,0.01,0,0,0,0.0312977652678867,2.22044604925031e-16
"2020-11-08","ES","ESNC",654214,0.01,0,0,0,0.0312059642064772,2.22044604925031e-16
"2020-11-09","ES","ESNC",654214,0.01,0,0,0,0.031114951811046,2.22044604925031e-16
"2020-11-10","ES","ESNC",654214,0.01,0,0,0,0.0310247166878309,2.22044604925031e-16
"2020-11-11","ES","ESNC",654214,0.01,0,0,0,0.0309352496221579,2.22044604925031e-16
"2020-11-12","ES","ESNC",654214,0.01,0,0,0,0.0308465410038894,2.22044604925031e-16
"2020-11-13","ES","ESNC",654214,0.01,0,0,0,0.0307585808721802,2.22044604925031e-16
"2020-11-14","ES","ESNC",654214,0.01,0,0,0,0.030671360055994,2.22044604925031e-16
"2020-11-15","ES","ESNC",654214,0.01,0,0,0,0.03058486896058,2.22044604925031e-16
"2020-11-16","ES","ESNC",654214,0.01,0,0,0,0.0304990987493875,2.22044604925031e-16
"2020-11-17","ES","ESNC",654214,0.01,0,0,0,0.0304140404155398,2.22044604925031e-16
"2020-11-18","ES","ESNC",654214,0.01,0,0,0,0.0303296850310015,2.22044604925031e-16
"2020-11-19","ES","ESNC",654214,0.01,0,0,0,0.0302460237476186,2.22044604925031e-16
"2020-11-20","ES","ESNC",654214,0.01,0,0,0,0.030163047945964,2.22044604925031e-16
"2020-11-21","ES","ESNC",654214,0.01,0,0,0,0.030080749882964,2.22044604925031e-16
"2020-11-22","ES","ESNC",654214,0.01,0,0,0,0.0299991206396796,2.22044604925031e-16
"2020-11-23","ES","ESNC",654214,0.01,0,0,0,0.0299181526339748,2.22044604925031e-16
"2020-11-24","ES","ESNC",654214,0.01,0,0,0,0.0298378377374835,2.22044604925031e-16
"2020-11-25","ES","ESNC",654214,NA,NA,NA,NA,0.0298378377403435,2.22044604925031e-16
"2020-11-26","ES","ESNC",654214,NA,NA,NA,NA,0.0298378377432035,2.22044604925031e-16
"2020-11-27","ES","ESNC",654214,NA,NA,NA,NA,0.0298378377460636,2.22044604925031e-16
"2020-11-28","ES","ESNC",654214,NA,NA,NA,NA,0.0298378377489236,2.22044604925031e-16
"2020-11-29","ES","ESNC",654214,NA,NA,NA,NA,0.0298378377517836,2.22044604925031e-16
"2020-11-30","ES","ESNC",654214,NA,NA,NA,NA,0.0298378377546437,2.22044604925031e-16
"2020-12-01","ES","ESNC",654214,NA,NA,NA,NA,0.0298378377575037,2.22044604925031e-16
"2020-12-02","ES","ESNC",654214,NA,NA,NA,NA,0.0298378377603637,2.22044604925031e-16
